台番,G数,BB,RB,合成,BB率,RB率
510,802,2,2,1/201,1/401,1/401
511,607,1,1,1/304,1/607,1/607
512,6263,29,24,1/118,1/216,1/261
513,5334,19,18,1/144,1/281,1/296
514,1153,3,4,1/165,1/384,1/288
515,638,1,2,1/213,1/638,1/319
516,344,0,1,1/344,-,1/344
517,3105,15,8,1/135,1/207,1/388
518,779,3,2,1/156,1/260,1/390
519,5569,22,21,1/130,1/253,1/265
520,1350,3,4,1/193,1/450,1/338
521,3289,20,7,1/122,1/164,1/470
522,170,0,0,-,-,-
523,7004,26,32,1/121,1/269,1/219
524,2361,9,6,1/157,1/262,1/394
525,633,2,0,1/317,1/317,-
526,265,0,0,-,-,-
527,1183,3,3,1/197,1/394,1/394
528,333,0,0,-,-,-
529,2737,12,4,1/171,1/228,1/684
530,1197,3,4,1/171,1/399,1/299
531,1176,4,0,1/294,1/294,-
532,4940,12,19,1/159,1/412,1/260
533,302,0,1,1/302,-,1/302
平均,2147,8,7,1/146,1/273,1/316
