台番,G数,BB,RB,合成,BB率,RB率
508,3489,13,10,1/152,1/268,1/349
509,175,0,0,-,-,-
510,6566,23,18,1/160,1/285,1/365
511,2760,10,9,1/145,1/276,1/307
512,2236,8,6,1/160,1/280,1/373
513,3777,14,12,1/145,1/270,1/315
514,567,0,2,1/284,-,1/284
515,723,3,0,1/241,1/241,-
516,3380,10,14,1/141,1/338,1/241
517,328,0,0,-,-,-
518,2822,11,10,1/134,1/257,1/282
519,1117,2,4,1/186,1/559,1/279
520,3420,5,13,1/190,1/684,1/263
521,2448,9,5,1/175,1/272,1/490
522,3516,14,11,1/141,1/251,1/320
523,2194,7,6,1/169,1/313,1/366
524,1387,5,2,1/198,1/277,1/694
525,1035,1,3,1/259,1/1035,1/345
526,818,3,1,1/205,1/273,1/818
527,2412,14,4,1/134,1/172,1/603
528,1784,10,4,1/127,1/178,1/446
529,274,0,0,-,-,-
530,1434,4,4,1/179,1/359,1/359
531,3706,13,24,1/100,1/285,1/154
532,5955,32,20,1/115,1/186,1/298
533,2441,8,9,1/144,1/305,1/271
平均,2337,8,7,1/148,1/277,1/318
