台番,G数,BB,RB,合成,BB率,RB率
508,813,3,1,1/203,1/271,1/813
509,3860,16,12,1/138,1/241,1/322
510,1746,10,4,1/125,1/175,1/437
511,553,1,2,1/184,1/553,1/277
512,847,2,0,1/424,1/424,-
513,1652,7,4,1/150,1/236,1/413
514,2716,9,9,1/151,1/302,1/302
515,657,1,0,1/657,1/657,-
516,4795,21,18,1/123,1/228,1/266
517,1264,6,1,1/181,1/211,1/1264
518,187,0,0,-,-,-
519,6444,28,26,1/119,1/230,1/248
520,1096,3,4,1/157,1/365,1/274
521,4429,16,15,1/143,1/277,1/295
522,3567,24,15,1/91,1/149,1/238
523,94,0,0,-,-,-
524,827,3,0,1/276,1/276,-
525,3633,9,16,1/145,1/404,1/227
526,585,1,0,1/585,1/585,-
527,338,0,0,-,-,-
528,3555,19,12,1/115,1/187,1/296
529,6277,23,29,1/121,1/273,1/216
530,1300,9,3,1/108,1/144,1/433
531,2615,12,6,1/145,1/218,1/436
532,278,0,0,-,-,-
533,2679,9,7,1/167,1/298,1/383
平均,2185,9,7,1/137,1/245,1/309
