台番,G数,BB,RB,合成,BB率,RB率
508,2961,7,10,1/174,1/423,1/296
509,1298,4,2,1/216,1/325,1/649
510,2258,6,7,1/174,1/376,1/323
511,1589,5,5,1/159,1/318,1/318
512,4101,14,12,1/158,1/293,1/342
513,4139,18,15,1/125,1/230,1/276
514,662,1,2,1/221,1/662,1/331
515,5074,23,21,1/115,1/221,1/242
516,835,2,3,1/167,1/418,1/278
517,920,2,1,1/307,1/460,1/920
518,5437,12,19,1/175,1/453,1/286
519,1664,1,6,1/238,1/1664,1/277
520,2611,8,6,1/187,1/326,1/435
521,5510,22,14,1/153,1/250,1/394
522,1487,8,1,1/165,1/186,1/1487
523,1324,4,3,1/189,1/331,1/441
524,253,0,0,-,-,-
525,5755,22,22,1/131,1/262,1/262
526,6197,24,23,1/132,1/258,1/269
527,1311,9,0,1/146,1/146,-
528,491,0,0,-,-,-
529,792,0,1,1/792,-,1/792
530,1080,0,3,1/360,-,1/360
531,3513,11,14,1/141,1/319,1/251
532,1039,2,2,1/260,1/520,1/520
533,4422,17,17,1/130,1/260,1/260
平均,2566,9,8,1/155,1/301,1/319
