台番,G数,BB,RB,合成,BB率,RB率
510,1366,6,3,1/152,1/228,1/455
511,409,1,0,1/409,1/409,-
512,2864,11,5,1/179,1/260,1/573
513,165,0,0,-,-,-
514,234,0,1,1/234,-,1/234
515,226,0,1,1/226,-,1/226
516,84,0,0,-,-,-
517,194,0,0,-,-,-
518,1472,7,6,1/113,1/210,1/245
519,93,0,0,-,-,-
520,3035,16,7,1/132,1/190,1/434
521,2384,9,10,1/125,1/265,1/238
522,900,3,2,1/180,1/300,1/450
523,267,0,1,1/267,-,1/267
524,193,0,1,1/193,-,1/193
525,103,0,0,-,-,-
526,152,0,0,-,-,-
527,175,0,0,-,-,-
528,283,1,0,1/283,1/283,-
529,125,0,0,-,-,-
530,447,0,2,1/224,-,1/224
531,178,0,0,-,-,-
532,145,0,0,-,-,-
533,4843,24,16,1/121,1/202,1/303
平均,847,3,2,1/153,1/261,1/370
