台番,G数,BB,RB,合成,BB率,RB率
508,927,5,1,1/155,1/185,1/927
509,968,3,0,1/323,1/323,-
510,2553,11,6,1/150,1/232,1/426
511,1769,7,3,1/177,1/253,1/590
512,4129,15,13,1/147,1/275,1/318
513,1153,4,3,1/165,1/288,1/384
514,1004,2,1,1/335,1/502,1/1004
515,3091,15,7,1/141,1/206,1/442
516,3036,14,12,1/117,1/217,1/253
517,6301,24,18,1/150,1/263,1/350
518,874,3,0,1/291,1/291,-
519,3153,6,14,1/158,1/526,1/225
520,4544,14,15,1/157,1/325,1/303
521,1292,3,2,1/258,1/431,1/646
522,545,1,0,1/545,1/545,-
523,4416,17,14,1/142,1/260,1/315
524,6168,32,24,1/110,1/193,1/257
525,2040,7,8,1/136,1/291,1/255
526,1985,5,7,1/165,1/397,1/284
527,923,1,2,1/308,1/923,1/462
528,6186,24,20,1/141,1/258,1/309
529,739,3,3,1/123,1/246,1/246
530,5195,17,23,1/130,1/306,1/226
531,3126,11,11,1/142,1/284,1/284
532,2272,7,6,1/175,1/325,1/379
533,1147,1,3,1/287,1/1147,1/382
平均,2674,10,8,1/149,1/276,1/322
