台番,G数,BB,RB,合成,BB率,RB率
510,4524,22,11,1/137,1/206,1/411
511,3836,16,12,1/137,1/240,1/320
512,2200,11,8,1/116,1/200,1/275
513,1184,5,1,1/197,1/237,1/1184
514,1020,3,2,1/204,1/340,1/510
515,2462,6,10,1/154,1/410,1/246
516,886,3,0,1/295,1/295,-
517,3164,11,11,1/144,1/288,1/288
518,1447,5,3,1/181,1/289,1/482
519,2396,9,7,1/150,1/266,1/342
520,3267,10,10,1/163,1/327,1/327
521,3816,14,14,1/136,1/273,1/273
522,2115,5,9,1/151,1/423,1/235
523,909,2,4,1/152,1/455,1/227
524,8561,33,31,1/134,1/259,1/276
525,5611,25,27,1/108,1/224,1/208
526,1013,2,1,1/338,1/507,1/1013
527,1532,5,3,1/192,1/306,1/511
528,2664,9,9,1/148,1/296,1/296
529,886,0,2,1/443,-,1/443
530,3183,18,13,1/103,1/177,1/245
531,2920,13,8,1/139,1/225,1/365
532,6248,30,29,1/106,1/208,1/215
533,2297,9,8,1/135,1/255,1/287
平均,2839,11,10,1/137,1/256,1/292
