台番,G数,BB,RB,合成,BB率,RB率
508,3418,10,11,1/163,1/342,1/311
509,788,3,2,1/158,1/263,1/394
510,3330,18,7,1/133,1/185,1/476
511,1286,6,0,1/214,1/214,-
512,1959,5,5,1/196,1/392,1/392
513,747,2,0,1/374,1/374,-
514,680,2,0,1/340,1/340,-
515,4520,18,13,1/146,1/251,1/348
516,736,2,1,1/245,1/368,1/736
517,2625,14,9,1/114,1/188,1/292
518,4359,20,12,1/136,1/218,1/363
519,4560,12,18,1/152,1/380,1/253
520,1092,7,2,1/121,1/156,1/546
521,4882,21,14,1/139,1/232,1/349
522,4961,19,18,1/134,1/261,1/276
523,1502,1,7,1/188,1/1502,1/215
524,859,3,2,1/172,1/286,1/430
525,7571,31,13,1/172,1/244,1/582
526,0,0,0,-,-,-
527,7328,30,30,1/122,1/244,1/244
528,1492,4,4,1/187,1/373,1/373
529,2252,5,7,1/188,1/450,1/322
530,8103,30,34,1/127,1/270,1/238
531,1989,4,4,1/249,1/497,1/497
532,4113,15,13,1/147,1/274,1/316
533,1067,4,2,1/178,1/267,1/534
平均,2932,11,9,1/148,1/267,1/334
