台番,G数,BB,RB,合成,BB率,RB率
508,656,1,2,1/219,1/656,1/328
509,4487,15,20,1/128,1/299,1/224
510,2811,11,18,1/97,1/256,1/156
511,5142,18,19,1/139,1/286,1/271
512,280,1,0,1/280,1/280,-
513,3315,16,9,1/133,1/207,1/368
514,1386,5,4,1/154,1/277,1/347
515,1631,5,3,1/204,1/326,1/544
516,1854,7,6,1/143,1/265,1/309
517,1158,3,4,1/165,1/386,1/290
518,2765,6,12,1/154,1/461,1/230
519,7985,37,31,1/117,1/216,1/258
520,1366,6,1,1/195,1/228,1/1366
521,6368,16,27,1/148,1/398,1/236
522,1700,8,5,1/131,1/213,1/340
523,3056,22,10,1/96,1/139,1/306
524,2185,10,5,1/146,1/219,1/437
525,2452,8,8,1/153,1/307,1/307
526,1649,2,7,1/183,1/825,1/236
527,4451,14,17,1/144,1/318,1/262
528,6186,28,25,1/117,1/221,1/247
529,272,0,0,-,-,-
530,1244,7,1,1/156,1/178,1/1244
531,1777,5,6,1/162,1/355,1/296
532,6976,21,32,1/132,1/332,1/218
533,1188,4,3,1/170,1/297,1/396
平均,2859,11,11,1/135,1/269,1/270
