台番,G数,BB,RB,合成,BB率,RB率
508,7025,39,21,1/117,1/180,1/335
509,1538,12,2,1/110,1/128,1/769
510,802,0,4,1/201,-,1/201
511,540,0,1,1/540,-,1/540
512,3961,14,16,1/132,1/283,1/248
513,727,2,4,1/121,1/364,1/182
514,3481,9,9,1/193,1/387,1/387
515,868,2,0,1/434,1/434,-
516,1270,5,3,1/159,1/254,1/423
517,2235,4,8,1/186,1/559,1/279
518,1448,4,4,1/181,1/362,1/362
519,1060,1,1,1/530,1/1060,1/1060
520,3755,11,7,1/209,1/341,1/536
521,3236,14,11,1/129,1/231,1/294
522,2135,7,6,1/164,1/305,1/356
523,4825,18,18,1/134,1/268,1/268
524,1198,4,4,1/150,1/300,1/300
525,6751,26,25,1/132,1/260,1/270
526,527,0,2,1/264,-,1/264
527,5762,22,20,1/137,1/262,1/288
528,597,1,1,1/299,1/597,1/597
529,966,3,4,1/138,1/322,1/242
530,2705,8,9,1/159,1/338,1/301
531,4577,16,22,1/120,1/286,1/208
532,1319,5,3,1/165,1/264,1/440
533,4098,14,20,1/121,1/293,1/205
平均,2593,9,9,1/145,1/280,1/300
